feature,importance
newell_coupling_std_72h,0.10507667
electric_field_ey_std_72h,0.055831533
dst_index_std_72h,0.052166943
electric_field_ey_mean_72h,0.04791908
dst_index_mean_24h,0.04424337
dst_index_mean_72h,0.041968714
kp_index_std_72h,0.038001798
kp_index_mean_72h,0.037673578
p_dyn_std_72h,0.02847084
electric_field_ey_mean_24h,0.027588041
wind_sw_speed_std_24h,0.025989305
wind_sw_speed_mean_72h,0.02438922
kp_index_std_24h,0.023024505
p_dyn_mean_72h,0.022764772
p_dyn_mean_24h,0.02102635
kp_index_mean_24h,0.020679591
newell_coupling_std_24h,0.020477138
newell_coupling_mean_72h,0.02037137
wind_sw_speed_mean_6h,0.019315299
p_dyn_std_24h,0.018168125
wind_sw_speed_mean_24h,0.017298974
wind_sw_speed_std_72h,0.017169025
wind_imf_bt,0.0163796
wind_thermal_spd,0.01571547
p_dyn_mean_6h,0.015039881
dst_index_mean_6h,0.014419464
newell_coupling_mean_24h,0.012290323
wind_sw_speed_std_6h,0.011644522
wind_sw_speed_mean_1h,0.011293099
dst_index_std_24h,0.011258336
p_dyn,0.011235346
wind_imf_bx,0.010746847
wind_sw_speed,0.010452214
electric_field_ey_mean_6h,0.010088589
dst_index,0.009363083
p_dyn_std_6h,0.0092439335
dst_index_mean_1h,0.008686781
electric_field_ey_std_24h,0.008292
electric_field_ey_std_6h,0.007794393
wind_sw_density,0.0072249253
newell_coupling_mean_6h,0.007048732
kp_index_std_6h,0.00671663
wind_imf_by,0.005922295
newell_coupling_std_6h,0.0055228113
kp_index,0.0050488003
p_dyn_mean_1h,0.00483554
electric_field_ey_std_1h,0.004401138
kp_index_mean_6h,0.0039819125
wind_sw_speed_std_1h,0.0036413167
kp_index_mean_1h,0.003525249
dst_gradient_6h,0.0027535607
p_dyn_std_1h,0.0025261876
electric_field_ey_mean_1h,0.0024968924
kp_index_std_1h,0.0023761215
newell_coupling_mean_1h,0.002073163
dst_index_std_1h,0.0017319527
dst_index_std_6h,0.0016718674
newell_coupling_std_1h,0.0009269683
electric_field_ey,0.0008267232
newell_coupling,0.0006146397
wind_imf_bz,0.0005744738
