feature,importance
newell_coupling_std_72h,0.08495474
electric_field_ey_mean_72h,0.06390719
dst_index_std_72h,0.055215478
dst_index_mean_24h,0.048635412
electric_field_ey_std_72h,0.04392018
p_dyn_std_72h,0.04272474
kp_index_mean_72h,0.04030261
newell_coupling_mean_72h,0.038958415
dst_index_mean_72h,0.037989587
kp_index_std_24h,0.037283454
kp_index_std_72h,0.034219448
wind_sw_speed_std_24h,0.033273593
p_dyn_mean_72h,0.025672214
wind_sw_speed_mean_72h,0.024380399
electric_field_ey_std_24h,0.022726316
wind_sw_speed_mean_6h,0.020498436
kp_index_mean_24h,0.019669442
p_dyn_mean_24h,0.01943774
dst_index_std_24h,0.018167017
wind_sw_speed_std_72h,0.017849797
electric_field_ey_mean_24h,0.017716201
wind_sw_speed_mean_1h,0.016637262
wind_sw_speed_mean_24h,0.016090773
p_dyn_mean_6h,0.013916379
electric_field_ey_mean_6h,0.013665846
newell_coupling_std_24h,0.013098216
p_dyn_std_24h,0.01266618
dst_index,0.012149137
electric_field_ey_std_6h,0.011597548
dst_index_mean_6h,0.009863291
newell_coupling_mean_24h,0.008414856
wind_thermal_spd,0.008406921
kp_index,0.008398934
wind_imf_bt,0.008280217
dst_index_mean_1h,0.0079079745
p_dyn_std_6h,0.007773276
p_dyn,0.0072595826
p_dyn_mean_1h,0.0070142057
wind_sw_density,0.006895266
kp_index_mean_6h,0.006554015
wind_sw_speed,0.0062647914
wind_imf_by,0.0056778407
kp_index_std_6h,0.0054673506
wind_sw_speed_std_6h,0.005464703
newell_coupling_std_6h,0.004726705
newell_coupling_mean_6h,0.004692389
wind_imf_bx,0.004278232
kp_index_mean_1h,0.0029593415
electric_field_ey_mean_1h,0.0025822218
newell_coupling_mean_1h,0.0017666509
dst_index_std_6h,0.0016620758
wind_sw_speed_std_1h,0.0015377824
p_dyn_std_1h,0.0013826482
dst_gradient_6h,0.001361735
newell_coupling,0.0011671552
kp_index_std_1h,0.00091898657
newell_coupling_std_1h,0.0008949205
electric_field_ey,0.00087426737
dst_index_std_1h,0.0008093313
electric_field_ey_std_1h,0.00076819176
wind_imf_bz,0.0006503742
